id,text
16413,"Bc a lot of women really want toxic, unstable and men that don’t talk to them. 🥲"
16501,Justin Thomas what happened 🥲
16502,"Jio cinema interface 🥲 What's with the brightness level bhaii. Andhaa kar denge specially for someone who is used to using dark mode now, its too much brightness 🙄"
16511,IF THIS AIN'T ME 🥲
1656,Feeling fomo 🥲 will miss out big time
16579,got penny in an episode but at what cost 🥲
16696,But the shoes I have literally do not fit the look at all 🥲💔 so maybe I'll try and get a pair at johor that will fit also cause I only have like. 2 pairs of shoes. ☠️
16873,Suddenly i feel like everyone hates me 🥲 without unknown reason
16876,Im so excited for tomorrows event i miss firstkhao sm 🥲
16971,This with coke 😭😭🥲
17008,"Yes, they will not have memory…
Just hope if they will meet again, still can hear Little call them ""friends"" 🥲"
17027,"I may sound live a villain but I hate how public holidays ruin plans. Yes, I should factor them in but I always forget and it just disrupts my plans. 🥲"
1709,The plan was to play some comfy farming sim then apex but your blue bnnuy has been a couch potato all day so I’m just going straight to apex with 🥲 see you soon ™
17294,leo rising and leo moon in 12h 🥲
17420,my baby brother turned 20 yesterday 🥲
17445,what are some good korean cafes in london?? anyone help me out im making a list for my trip 🥲
17458,"The thing i feared has started to happen it seems
Downfall of SKY
No worries in IPL but what if this continues in Indian team also 🥲"
17477,THE video that got me into them OMG 🥲
17500,I want to go to the Masters so bad 🥲
17961,till now i think bout yesterday what actually hurt u till u hurt me? but if i know earlier definitely i won’t disturb u & will find my own way 🥲
18083,Trauma is their favourite excuse 🥲 but it just comes and goes as per her convenience. She had no trauma with ar when she was going to see her or the g family at the party but apparently they were horrible too- it’s only abhi for her😪 her character is all over the place
18233,this why gen ed classes in high school/college should exist 🥲 bitches don’t know basic science 😭
18268,"As a swiftie, it's hard for me to choose songs okay? 

Like if taylor is having a hard time choosing her track no 5, then i feel the same. 🥲"
18306,"Adding to the VAR goal reversal, Toney misses a penalty too.

-1 on FPL 🥲"
1834,so much good is coming to me 🥲☮️
18488,Forgot to manage FPL team. Toney missed a penalty. 🥲
18784,And it’s supposed to be sunny this week 🥲
1900,The fact that she now knows we all know….. 🥲
19122,It really makes me so so sad thinking about AbhiRa 🥲💔 The way everything is so ruined and makers are still ruining it to the core. I really really hope saab jaldi se theek ho jaye I miss AbhiRa sm! 💔
19136,Already planning to do that 🥲
19173,"that’s super helpful, thanks again! i’ve googled and couldn’t find much 🥲"
19192,What if we don’t have light? 🥲
19251,the promise ring trend on tiktok is so cute 🥲 && i couldn't never relate
1952,I want to invite moms/kiddos to sylas’s birthday party bc I know they’re around his age but I haven’t talked to the moms much & I don’t want them to be like “wtf she just wants a gift” like no I want my baby to have baby friends! 🥲😭
19558,This was one of my first conversations about my book so here I am all giddy to talk w Paige!!! Also I needed to figure out my hair 🥲
1957,"Crush on teacher: yes 😔
Lied to parents: no 😌
Hide marksheet: Nope🙃
Failed in subjects: yes 🥲
Cheated on exams: yes 😭
Smoked: No 🥲
Sleep during classes: yes 😭

Quote yours"
2045,Nope the bottle was behind me 🥲 it definitely was a chemical. Started tingling after a few minutes. 😔 they got me
2132,My 100% walkthrough was overwritten by my cousin and now all my saves are from the first chapter of the game 🥲 I really wanted to use all my gear on NG+
2194,HAPPYYYY BIRTHDAY DAY BABY 🥺💕 I TOTALLY FORGOT SHSHS BAD FRIEND AM I NOT IM SORRY I DIDNT PAY ATTENTION 🥲 I knew there was something today I guess my mind wasn’t there I WISH I COULD WRITE U SOMETHING BIG ALSO HAPPY BDAY TO YOUR TWIN SISTER TOO 💕
2208,That is so sad 🥲.
2402,"Finished #BEEFNetflix and the way I see anger, happiness.. will never be the same. Also, was so so so so so good. 🥲"
281,The way that it’s been YEARS since I have seen the birthday balloons on my profile 🥲💔
283,"Honestly, they're probably gonna have celebrities on the pedestal 🥲"
2865,They all went to China to eat and drink 🤣😂😂😂😂🤣🥲
2924,miss the random bestie I made at the club today 🥲
2992,Would love for these cosmetics to be added for the skelly curse 🥲
3080,"Hey Edmund, I wanted to ask.. Repentance will be updated on switch to version 1.7.9b?
I was wondering since there hasn't been any news in a while about it 🥲"
33,i got emotional damage and this is not even my fucking relationship 🥲
3311,I’m gonna believe this is the true one 🥲
3347,"People, ET and Billboard reported that Taylor and Joe broke up. 🥲"
3558,late april fools ba to 🥲
3646,Y’all I’m so bad at our language(s) and it’s embarrassing considering my age 🥲🤣
3726,dw it’s not real taylor told me herself 🥲
3803,3G lance is too hard 🥲
3871,I tried to give blood today but was prohibited because I sneezed a few times 🥲
3978,Going to the same area I got my picture with the big ass snake 🥲 might find it again 🤭😈
3984,Up to 5 now! These guys are such a surefire takeoff imo🔥🚀. Ive been slowly and silently adding as the weeks go by while the space is quiet on them 😝. Can't wait to hear what's up their sleeve from their NFT NY event (if only I had a ticket 🥲) 🔮!
4175,Seriously 🥲
4277,"haha, I getcha. I like smooth surfaces too.. well at least traditional. In digital on my cintiq I am begging for some course surface 😅
Tried 32 Pro and damn etched glass feels so much better compared to some shitty foil on cintiq 16... But who has money for Pro line amiright? 🥲"
4319,i refuse to believe 🥲
4327,"I’m saving for the EXO comeback 😅😭🙃

I did get some small Hawaii-themed Sanrio reusable bags for my friends tho, those little ones you can roll up. They’re really cute 🥲"
436,dad knows how to lure me to go home 🥲
439,First faceoff of OT is wild. Anyways Michigan has lost in the frozen four to the eventual champions in back to back years now. 🥲
4406,"good morning and world :) 

What a night!✨💙

너무 기뻐 보여서 저도 행복해요..🥹🥲
Thank you for sharing 🌸

#NoChallengeNoChange 

#최시원 #siwon #シウォン
#SUPERJUNIOR"
4441,Agreed! They’re in Paris but they never got to see it. 🥲
467,箱買いしても1枚が限界でした🥲
4848,We have proved that we are not a tissue paper qoum!!! 🥲 #Azaadi #9thAprilBlackDay
4944,"Sehri me mazang paratha pe itna rush dhek k me and my homies calculated their monthly income and it was astonishingly 1.5-2 crore
And realized k ghalat field me agye h hm 🥲"
5187,"im already crying in the morning 🥲 i’ve never been touched reading a ‘thanks to’ before AKSDFGH LEE MINHYUK!!!

the way he ~knows~ even the little things his members has done as he thanked them and cheered them on. who wouldn’t be touched by that? 😭"
5213,LOL hahaha yeah but I can't imagine how they're making this into an event 🤣 it's like I'm not sure whether to take them seriously or not 😂 hopefully it's a casual comical event like lao-da's one coz we've been eating too much 🔪🔪 recently  🥲
5275,put the SvR2005 and 2006 soundtracks on streaming please 🥲
5392,Sam!Harry collapsing on the floor in Jily death and clutching his stomach so hard like he was going to be sick after watching his mum die 🥲
5732,Me who made a lot of swift chocolate moonkissed toppings for bb pie when she actually uses searing raspberry 🥲
5754,"I swear I don mugu for one girl hand like that, haaa Yetunde will never forgive me for being a coward 😢😢😢🥲"
5953,"I ran out movies to watch. Wanna watch World War Z but I couldn't find it in any legal platform dammit 🥲 I'm too lazy to watch it online, the ads infuriates me"
6251,Come come come! :) i miss you anyways 🥲
6261,Last day here 🥲😞
6287,I think you just confirmed that I have a thing for arms 🥲
6288,One more episode 🥲
6291,Is today chaotic or what 🥲
6372,"""We live to make the impossible possible! That* is our Focus!"". 🥲💚 #FinalFantasyXIII"
6774,Mara... what if that light at the end of the tunnel is just a torch that was left there on purpose?🤔🥲😂😂💀
6777,💙🤍💙🤍💙🤍 🥲😢😭😭😢🥲 ❤️🖤❤️🖤❤️🖤 👏🥲👏🥲👏🥲 👏🥲👏😢👏😭👏😭👏😢👏🥲 💙🤍❤️🖤💙🤍❤️🖤💙🤍❤️🖤💙🤍
6788,He’s back 🥲 ESCOBOMB 💣
6845,"i really need your help 🥲 i can't get into the game at all, it's going to be a full day that i've had to deal with the Where's the Network error 🥲"
6870,Oh yeah 🥲
6933,my fav book site is shutting down so i just bought so many even tho i have no space on my shelves 🥲
696,“I guess it’s the price I pay for seven years in heaven” 🥲
717,They don't punk me. Cause one tho I'm not gone do is be a fan of a fan 🥲
7228,"🥲

Also see you on streams later!"
7282,"i know they say it’s not about the numbers but i do pay attention to them. 

i see you lurkers & i appreciate you sm. THANK YOU EVERYONE FOR THE VIEWS 🥲 i do see our views climbing, so thank you from the bottom of my heart 🫶"
733,I miss Ben. 🥲.  - maybe you should repost Bens beast of the day from his substack now that Elmo tossed Ben out. #DogShirtDaily #babycannon #boom Where have all the baby cannon videos gone ?
7550,"Which version of the bible says the fruit wasn’t literal? Le ge bare di “interpretation” ke tše ntšhi, come on 🥲"
7586,Nobody tells you how HOT Thailand is in April. I’ve been cooking since I got here 🥲
7698,"I havent been streaming for like 2 weeks now and i kinda forgot that i am a streamer 😅
Sorry about the absence, got uni, work, rigging and personal life all at once happening, so i feel too tired and got not much time to stream 😔 pls dont forget i exist 🥲

#Vtuber #ENVtuber"
7786,Photography goddesses have blessed me n Paige sent my photos back today. 🥲
7821,Hearing Citizens Bank Park full of booing (rightfully so) for the umps. Nature is healing! 🥲
7903,So proud of you 🥲… Continue on this path to greatness 💯 
8119,Yo ur computer (I’m shocked cause my computer would explode trying to run this 😅🥲)
8221,Why my spirit guides letting me get hella fucking bamboozled!?!?!?! What did I do 🥲
8271,Many stopped using Face focused 🥲
8358,This clearly shows we can beat them 🥲
853,I miss you … but I miss sparkling? 🥲
8589,Aaa sorry they were all sold 🥲😭😭 if you want another one u can dm me and I'll make u one sometime
8597,I hope you continue your vtuber dream under a new name and make more ppl smile like you did with us we will miss you much and if you do continue i hope we can find you 🥲
8717,"Alyssa, Sergio, & I had a deep ass conversation last night. & it makes my heart smile because they’re the two I hold closest to me. 🥲♥️🤞🏽"
8808,"Hey ! I think I might have scared you yesterday so if it's the case sorry ! 🥲
I DMd and mentioned a bunch of people in a spark of social enthusiasm 😂
Please accept my humble apologies 🙏"
8861,I am NOT going to be posting any of my mercs scores bc unfortunately the best I can do is an A rank 🥲 you guys are all so good with your S+ ranks
9005,HAPPY BIRTHDAY hope you have a good one 🥲🎊
91,Goes to Sydney for the weekend - bull shark shuts down Manly Beach🦈🥲
9126,I miss the rave fam 🥲
9164,I use 1k to chop 2k sha after everywhere red 🥲
9192,They found the missing elderly man with dementia in Santa Rosa finally.  RIP.  Larry Atchison 🥲
9329,A what!!?? Then how is that happy? Does he wake up? But after how long? 🥲
9482,cuties 🥲
9513,"I think I can watch Avatar again, it was so good 🥲"
9583,I'm gonna cry wtf 😭 but then again 3rd row isn't that bad as well 🥲 my only fear is that I won't see anything cause I'm so short
964,Tbh i just feel this raya isnt for me. I dont feel the hype anymore. I dont prepare anything or even have the feelings nak go raya shopping 🥲 i dont even apply leave for raya cuz i dont feel like i need it
