id,text
18658,"I saw it today. They are going to KILL me. Like, I know there will be angst, but right now, there is just a lot of joy in finding a person you really like, and I'm obsessed with them 😭😭😭"
18816,"They put no effort into Hunter’s 😭😭
He’s just taller with different clothes while everyone else got whole new designs"
18954,Lmfaooo!!! PLSS 😭😂😂😂😂💯No cap tho ! My tete stayed lighting they ass up
19037,Why is this relatable though? 😭
19073,Y my bf say he wanna play?😭😭😭😭I cannot stop laughing
19116,no blushing or ANYTHING 😭
19159,ur forever our child like the most child of child we love you so bad 😭😭😭🫶🫶🫶 litch just want nothing but the best for you 😕😕😕
19194,OH I LOVE HER IN YOUR STYLE SO MUCH... LITTLE DOTTIR... 😭🫶
19327,Bro what 😭😭😭😭 I am literally screaming. You gotta be stopped lol
19568,my goddaughter fighting her sleep so bad rn like all I’m trying do is eat 😭😭
2093,how do these nigga’s gossip to other nigga’s ion get it…😭
2104,Kevin Holland too damn friendly you funny gotta dap Niggas up the whole fight 😭
214,i think i was off by a year 😭😭 age is strange i don't like it
2161,I’m changing my number tomorrow 😭
2191,"pls pls pls stop wasting seller's time. kung 'di kayo sure or out of your budget, 'wag niyo na i-mine 😭"
2231,"THIS IS THE BEST THING TO START MY DAY WITHSJJSKS they are the cutest, marcyyyyy!!!! thank you so much for this, but now i also want a pretty boy to do my hair and i have been whining about getting it cut too😭😭"
2244,Im an art student with no history in biology🫠😭
2263,(Don't) Stop feeding my mind more delusions 😭😭😭
2446,He's shining in golden colour OMG😭
2480,"about the jacket he’s wearing, while they were in korea jeno called him and asked where are you? and he went to where renjun was and gave him a present (the jacket) and told him to wear it at the airport 😭😭😭😭"
2501,How i wish i could see one direction live 😭
2514,rosé always at the scene of the crime ??? 😭😭😭
2536,"LOVER, PAPER RINGS, THE GREAT WAR 😭🙏🏼"
2593,Why is she so beautiful 🥺😭
27,whoever hacked my main account will be having the worst month ever.. the fucking bio 😭
2943,RIGHT their numbers are so similar too 😭
3089,"tall, long reach, extremely powerful, more like kevin haaland😭😭🤦🏽‍♂️ #UFC287"
3157,"Not me thinking Amores Perros would be a good movie to watch, it’s been 5 minutes and I’m crying already 😭"
3161,He cooked that man to hell 😭🤣 I loved every minute of this. He called that man out on his hypocrisy AND made him say it. He didn't just let him sit silently and tuck his tail like a lot of people would do.
3190,I still hate that book shem 😭. I hated it in high school and till this day I don't get why Gatsby had to be a pathetic loser 😭
3312,"Everyone did, I don't think anyone had a single doubt😭😭😭 the whole ""can joe alwyn fight?"" thing is just sad to think about now"
3343,that yatchy song for sure grew on me i can’t lie 😭
3378,tbh those are my favorite im shattered 😭😭😭😭😭😭😭😭 they PROMISED they survived the great war I SIMPLY>>>REFUSE<<< TO BELIEVE
3546,"#MCFNAFverse
Oh yeah I’m doing the red Axolotl!! I recently found out albino Axolotls have red ear things (I’m sorry I don’t know the name 😭) so I’m doing that.

I’ll make a blonde Axolotl Vendi and post it in the comments when I make the post tho since it does look nice"
3693,i watched you grow up… how you legal b4 me skai?😭😔
3785,The UFC crowd is always so random.  i swear i just saw Trump and Mike tyson in the same shot 😭😭😭 #UFC287
4313,"Yall us Elira fans gotta get Elira to watch Code Geass, if we had to suffer, she has to!! 😎😭 JK but id be nice for her to watch it one day! 🥰🤗 #EliraPendora"
4322,Ahh damn I miss talking to this nerd so much. He was the kindest and coolest and sweetest dude I have the pleasure of being friends with. It feels so good to catch up with people again 😭😌🫶🫂 we're talking mario bros and other nerdy animation shit now lmao it's cool
4358,unhealthily obsessed with gilmore girls 😭😭😭😭😭😭😭 pota mo
4442,I wish I could use my face as a pfp but I hate seeing myself when I say crazy shit it’s like I’m judging myself 😭
4482,I must be in the minority because I like all the media Luke has appeared in 😭 Give me prime Jedi Master Luke and give me downtrodden Luke! Give me badass Luke and give me broken Luke! They don’t have to be mutually exclusive
4615,i don’t even watch the owl house but it feels weird that that is now over aswel wtf 😭
4742,Imagine getting dropped by a backhand while you’re holding someone’s leg 😭😭😭
4810,F*ck Shabs this is giving me all the feels 🥺😭
4829,/ my 20th little cousin has passed yesterday last night he was so close to my little brother back then before he’s basically the same age as my little brother i am so about sad in the inside i want to cry but i don’t want to may my little cousin rest in peace i miss him! 🥺😢😭
4842,They’re having a mid off😭😭😭
49,OH HELL NAH 😭😭😭
5365,Are we being sarcastic lol 😭
5479,"And this is exactly why they be comin to me crazy, I be like sir, I understand this what girls commonly do. But this ain’t that 😭💀 “you gotta work for me” - Brent. Then they wanna hit me with the pikachu face like how dare she not gimme everything for nothing. 😭"
5521,I let my child hang out tonight with her friends boy my anxiety through the roof 😭
5682,q lindes todos 😭❣️
5686,He really cares for his onii-chan. I just want them to be as close as they were before 🥺😭
5704,she did not have to do you like that my god😭
5749,"IIII WAIT BY THE DOOR LIKE IM JUST A KID, USE MY BEST COLORS FOR YOUR PORTRAIT, LAY THE TABLES WITH THE FANCY SHIT… AND WATCH YOU TOLERATE IT 💀☠️😵🪦😭😢😪"
5775,I want to be accountable for someone. That someone is you.😭
5824,IM IN TOTAL DISBELIEF TOO 😭😭 I hope they are okay 🥺
5996,how tf i miss this 😭
6031,Damnn i was sleeping that time and this thing got posted automatically i was scared bish later found out that's bot😭
6063,Hell nahhh Dress is one of my favourite song 😭😭
6212,GAHHHHH THEY PASSED ME LAST YEAR WHEN I WAS JUST GETTING INTO THIER MUSIC AND NOW IM SAD I MISSED IT 😭😭
6286,I wasn't able to finish it huhu anyone who has a drive of all the loona tvs? 😭
6299,I have both of them so😭
6336,DO NOT PUT THIS OUT INTO THE UNIVERSE 😭
6364,missed my mouth drinking water and it spilled all over me and i got the most heart felt love confession 😭😭
6520,RSL had by far the worst attack in the league and they’re out here looking like 2015 Barca 😭😭😭
6723,Leave him alone he was on Kath and Kim 😭
6751,If I want bread for breakfast I’ll just fucking have the bread bc I was good all morning and afternoon just to give into the Bread Temptations in the evening bc my mom put it on the table as a side for iftar 😭😭😭😭😭 معروك is so fucking dangerous
6766,Thats me sometimes… 🤣 I’ll be in bed like fuck now I gotta show myself fr 😭
6814,This is an off guard of him holding his baby as an introduction😭
6978,help bdjs it's almost morning for you just stay awake tbh 😭
704,they're saying she always has good bobs the last part is a little confusing tho 😭😭😭
7110,Oh thanks for your addition😭
7247,I’m finally going to sleep this time😭 but I’m gonna pray that when I wake up the reports will be proven false
734,He gave her aids 😅🥹🥹🥹😭😭😭😭
7341,she dead trifling for doing that voice over 😹😹😹😭 i’m crying
7450,There will be no toothpaste left and all the bathrooms and food will be taken 😭
7518,If my Twitter circle get leaked 😭😭🥲 I’m not beating those slut allegations
7567,VeeWise ❤️😭
7677,I GET TO SEE MY DOG TODAY 👆🏽😭
769,I just want the squishmallow 😭
7739,why’d urban decay comment this under kim’s alone teaser video 😭😭😭
7784,"💀💀💀 Please no, gtfo normies tryna sell shit 😭"
7866,Imagine going on your phone during the intermission of Hamilton to see your timeline a mess and having to sit through the next hour acting fine 😭
789,I can’t listen to sweet nothing without sobbing like a baby now 😭😭
7899,"This reminds me of that like ""they broke up and make it everyone's problem"" 😭"
7948,"Me (saw some sidem P’s tweets and got knew that they met and talked with Enoki) :

“What a wonderful moment... I’m also really happy to know that they had a great time in the fan meeting😭”"
7983,WHY IS THIS GETTING MORE ATTENTION THAN MY SERIOUS SHIT 😭
8070,"Don’t bother, ill be fine😭😭"
8083,i woulda kissed him when he jumped in the crowd 😭
8156,yall i love the place im at rn but the cell service and the wifi suck ass 😭
8217,GET HIS ASS😭
8495,can txt pls release blue spring on spotify 😭
8685,i couldn't believe it either 😭
8692,i just don’t know how she’ll outlive everyone😭
870,Istg these two are inseparable 😭
8740,my last league game of the NBA was yesterday and it still doesn’t feel real 😭 i’m upset
8774,Please help boost this 😭😭😭😭
8852,I was there! I screamed so loud. 😭🥲
8896,its been a long 3 hours 😭
8934,"//TOH SPOILERS

you literally can’t deny it any longer. 

LOOK 👏 AT 👏 YOUR 👏 BOY 👏

Are you telling me he’s NOT a simp and that they’re NOT dating?!??? 😭 
THEY WENT TO GROM TOGETHER."
9024,you can’t tell junie nothing bout isaiah not being his brother. 😭🤣
9101,Y’all still talking about this shit 😭😭😭😭
9169,mmf trust issues 😭
926,Ngl it hurts I also lost bunch of my fav moots 😭
9325,My chronic urticaria is flaring up for the first time in months please tell me the Xolair has stopped working 😭
9414,i know they'll be there 😭😭 this is too cute for my stiff carrot soul
9476,nooo ‘cos changing the setlist from Invisible String to The 1 would make sense now 😭🥺
9480,😭😭 bring that shit to LA it will just be a whole episode of
9494,Far from it 😭 but thank you!
9512,no i get the ice cream part WHAT IS GRAPENUT 😭😭
9578,THESE ARE MY MOST LISTENED TO SONGS OF ALL TIME 😭😭😭😭
9676,LMAOOO none of my irl friends get it 😭
9693,then his username woot woot 😭😭
9947,"WHO THE FUCK INVITED MY MAN BLUD 😭😭

BRO THINKS HE'S ON THE TEAM 💀💀

#TheOwlHouseS3 #ThankYouOwlHouse #TheOwlHouseSpoilers"
