id,text
17386,We're in this together 🥹
17391,🥹 for fwee? Could my eyes deceive me? 😭
17399,Mujur dapat ticket on the 8th 🥹
17634,that time of the year 🥹 xD
17664,oh my god 🥹 i used to work with them omggggggg 😢
17668,"Chapter 18 of Six of Crows books got me screaming, kaz is very romantic in his mind 🥹"
17670,"pleaseeee , do U have a invite to share ?🥹"
17680,oops so i kinda forgot about this because some things just happened lol 🥹 but i'll be posting it in a bit! thanks to everyone who liked 🫶
17992,🥹 we take the smallest things for granted… 👏🏾🫡
18114,"wow, my heart is so full today. I literally got a jaemren and chanbaek update all at once 🥹❤️‍🩹 my precious boys"
18126,Quote with a photo of you that looks like an Album cover. 🥹🌚🌚
18281,"When he was of my age 🥹♥️ 
I love him i love him i love him so much ♥️"
1831,WE HIT $30K FOR AND LETS FUCKING GOOOO!!!  🥹🏳️‍⚧️
18481,"Honestly, it's a little difficult to choose for me, because I love all his works and all the characters he presented 🥹😍, but there are special characters to my heart, and they are"
18560,Really? 🥹
18583,Please support our Yoongi guys 🥹
18878,"shinunoga e-wa and matsuri went big on thailand so it’s kinda expected that it will be his priority. same, I wish he go to our countries too 🥹 I’m from SEA as well but fans are not as huge here in PH (i hope they’re just hiding 🤣)"
18889,BTS are seriously the BEST sunbaenims to their juniors 🥹
18943,These make me especially happy! 🥹🌈💖🫰🏻✨
19144,"i miss becky GSKAHSKAHAKS my clingy ass for her and her only 🥹

#beckysangels"
19183,everyone is already going crazy and enha were just playing on the screen 🥹😭💞 #ENHYPENinParis #ENHYPEN #ENHYPEN_MusicBankInParis
19323,"ITZY bangkok 230408 - Ryujin the child that she is 🥹❤️ then there’s LoveLIA 🥰 i cant be any happier today 👑 
#ITZY_CHECKMATE_BKK #ITZY_WORLD_TOUR #itzy_checkmate_last_day #itzy #있지 #류진 #리아"
19348,"case 143’s mv was played at music bank paris, the event hasn’t even started and not everyone is at their seats yet but the cheers for skz are so loud 🥹 

saw some tweets by stays who are there and they said that the majority of the fans at music bank paris are stays 🫶"
19437,"Did it already! You should try to do it again, boo. 🥹"
19563,"They are each others biggest supporter 🥹
My jenchulichaeng, my ot4ever 💙♥️💛🤍"
1959,i can handle slimes because i think they're sweeties but the rest not so much 🥹
2039,such a handsome guy 🥹😍
2108,Ricky.. always a straight shooter... 🥹🤣
