ID,Comments
93,i got in my feels yesterday but my mom never fails to remind me how much i’ve grown as a person and how much healing i’ve been doing to b where i’m at emotionally and mentally. i should b so fucking proud 🤍
94,"during jungwon's trainee days, it's heartwarming to know that a lot rlly found him cute (like his members' first impression on him, bh casting head, and artists like wayv's kun) &amp; how his hardwork, which led him to attain first place during their monthly eval, is recognized 🤍"
95,Gmorning buns! I hope you had a great Easter yesterday. I got a lil surprise coming for you. 🤍
96,i love you onnie 🤍
97,"after worked do hard a few days ago due to secret overseas schedule and yesterday we just ended filming at Los Angeles time and this is today’s I'll rest easy on the plane , knowing that tomorrow will bring more opportunities to create something amazing with aespa in 🇵🇭 🤍 !"
98,Hair getting neglected but all for Allah 🤍
99,"it’s a new week. set your intentions, list your short term goals &amp; don’t forget affirmations 🤍"
100,"Guys I’ve acc found the share the meal app soooo useful in the past years. You can donate as little as 65p via Apple Pay every night which helps provide a meal for families in Palestine, Ukraine, Yemen.. your choice. It even has a 100% donation policy 🤍"
101,Thank you God for waking me this morning 🤍
102,🤍 2 days in a row…#BTSARMY we’re being spoiled…love #JIMIN in the new global campaign #JIMINxTIFFANY 🤍
103,good morning 🤍
104,such a great interview 🤍
105,Cutie bhai obsessed with sky 🤍
106,"my beloved, may you be blessed all the time 🤍
BLOOMING KARINA DAY 
#지민아_마이의_푸른봄은_너야 
#Welcome_to_MyKarina"
107,"I get it I dont want anything to do with the drama cause I used to get in to so much drama in the past and I think it broke my mental health so right now I’m not focusing on the drama but positive things, I hope your okay tho 🤍"
108,"happiest birthday 🤍 I wish you the best on your special dayy. thank you for being the sweetest and most caring bub ever, so many of us, including me, are so so happy to have you in our lives. I miss talking to you sm I hope u are well. have an amazing day still ilysmm"
109,face poets write poems about 🤍
110,"Taking it easy with neutral spring pieces. Shop everyday essentials at Daily Thread, and Umi’s Boutique, and build the perfect wardrobe for spring. 🤍"
111,Only a pleasure 🤍
112,"Side note- I remember Europeans being very well mannered &amp; kind to me as a waitress. They often were very funny too. I offered water to drink (as option) &amp; one man replied “Water? Water is for fishes, please bring the beer!” it was just hilarious to me. 🤍 always appreciated them"
113,"good night, kems! goodluck for tommorow 🤍"
114,Thank you in advance 🤍
115,سبحانه 🤍
116,collecting memories of the passion of Christ!🤍
117,i met my irl best friend of 5 almost 6 years here so 🤍
118,aww so lovely thank you na ka sweetheart 🤍
119,Love this for you! 🤍
