ID,Comments
129,"So I have my week planned out, I’m heading to pa tmr, gonna stay at my cousins bc it’s been forever, go to the cemetery on Tuesday, I think go to the zoo on Wednesday, I don’t know abt Thursday but go home Friday 😍"
130,Juan Soto in a Red Sox jersey 😍😍
131,😍😍😍
132,Wow que hermoso 😍😍😍😍😍
133,This picture is so beautiful 😍
134,Hope you'll show us 😍
135,وليه مو انتي بدالي ياقلبي😍
136,"This man is genius with a sharp mind,humble  😍😍
Thanku to connecting me with true peoples.
We Love Oogy 
We Love Earnelo 
#oogish #oozish"
137,What a beauty 😍😍😍
138,😍Deer Life Cycle Facts #youtube #deers #shorts #ytshorts via
139,It REALLY is tho 😍
140,Y chihuahua 😍
141,😍
142,Must have. Go for it! 😍
143,My incision scar from surgery was gone after like 3 weeks. My body is amazing😍
144,Wrexham was my team when I was growing up in Wales!  Now I live in NH!  Love to see them with so much support from all over the world 😍
145,face card never declines 😍
146,We have so many of the same puzzles. I love how you alternated the Le Puzz boxes 😍
147,a bissexualidade 😍😍😍😍
148,Oh my God you’re so beautiful 😍
149,Haha. Love this Easter meme you did. 😍😍
150,one year since got shouted out by at play fest😍
151,All my brothers be doing they shit 😍😍
152,This is so amazing! So well made! Is your favourite Rio? 😍
153,Please please please! I’ve been dying to see! 😍
154,si soy demisexual me gusta demichelis 😍
155,Good Morning Monday 😍
156,More beautiful in this photo 😍
157,"I’m nice on the grill,  I get it from my Mama 😍"
158,"I will say though, this first episode of demon slayer was beautiful 😍"
159,"Best boy, so excited for whatever's coming up 😍"
160,Spit on me 😍
161,Ale to było dobre 😍
162,Thank you 😍
163,lots of mad collabs in the music industry this year😍
164,What can’t she do 😍
165,😍😍its the small things
166,Omg 😍 what's their name?
167,Thank you bia 😍
168,Ma’am I think you already have and I liked it 😍
169,"Not cares,her loves her😍😍"
170,Omg I’m in love with this head sculpt!! 😍
171,😍😍😍😍
172,"Bought 1kg coin chocolate, 1L whipping cream &amp; 275g unsalted butter boleh buat 3 acuan😍"
173,"Iris, magnolia, malabar chestnut, and gardenia in bloom at the Florida Botanical Gardens... lovely 😍"
174,"I know what they look like, i seem em every night 😍 /j"
175,She's so Queen 😍
176,look how fine this woman is just sheesh 😍
177,Ff8 was my favorite and harvest moon btn was a close second 😍
178,aww 😍 (ive never been this lonely in my entire life)
179,awww tysm!!!😍
180,Whoever gets with you is going to be one lucky guy 😍
181,Jungkook looks so cute😍😍 Hmm what's going on? JJK1 is coming???
182,"Beef tenderloin, horseradish cream, creamed spinach and a baked potato. That was my request from the boys. Hope I didn’t dissappoint. All I do is for them. Enjoy! 😍"
183,face reveal😍
184,"I will still say this again. Hafy ate her wedding outfits.
Like she all of them!!! Abeg the babe can dress 😍"
185,Love to see it! 😍
186,Biggest story was Koepka’s arse falling out 😍
187,These are so pretty! Oh my gosh! 😍
188,love this dress and color 😍
189,😍Deer Life Cycle Facts #youtube #deers #shorts #ytshorts via
190,So both have same chance 😍
191,I got a lip flip two days ago and I’m already noticing a difference. 😍
192,Outstanding flossing on this one. 😍
193,"You know how much I love Billy! 😍 If only he would step right out the tv again, huh? I’ll get the popcorn before you change your mind!"
194,Que mulher maravilhosa 😍😍
195,These are beautiful 😍
196,Happy Easter! 😍
197,dios mío que mujer 😍
198,i love it.. you are so amazing 😍😍😍
199,"😍
I had quite an interesting day friend. 
You all looking great"
200,"Please do more comps!!! I love all your comps. 
😍"
201,I just finished with True Blood. 😍
202,😍
203,You are gorgeous 😍
204,I made round things for Easter. Quiche two ways—spinach red pepper and bacon scallion—and an almond tart. The tart has a tiny bit of grand marnier 😍
205,Oh my word. 😍
206,Ameen ya Allah my first lady😍
207,"Oh my oh  my gosh, Anubis end Osiris are really handsome and sexy. But Anubis drives me crazy.😍"
208,Masque dyl 3 dh 😍
209,They have a Mario Bros cafe called “Toadstool cafe” 😍😍😍😍 I wanna find it and go there one day.
210,it’s storming 😍
211,New song coming from JK 😍
212,"i keep waiting for a ""this was a joke"" tweet bc i cant believe this is real. JINKX ON DOCTOR WHO!!!!!!!!!!!😍😍😍😍"
213,😍😍😍Mood
214,a lot face cards on my tl. i love this 😍
215,girl you’re fine 😍
216,It was so funny! Also I can't wait to buy the dvd and watch all the making-of stuff 😍
217,Pharrell built a hotel in Miami and it's gorgeous 😍
218,KK is so excited to play for and in Toronto and we are damn lucky to have him 😍
219,Everyone should subscribe to this Sandhill Crane stan account 😍😍😍
220,The sunsets have been soo beautiful lately 😍
221,"You are so beautiful, gorgeous and handsome 😍😍"
222,imagine if my parents made me do things &amp; talk to people as a kid rather than let me give into my anxieties about literally everything because “she’s just shy and will grow out of it” (i never did) 😍😍😍
223,I used to stare at this cassette. I had to be about 7 or so. I didn't understand being gay. I just knew I couldn't look away from her. I was drawn to her. She was so pretty 😍
224,We can also do that😍
225,You to damn fine for this thread fuhhh 😍
226,$HOT #holochain are you serious? 😍😍😍 ahead of the plan? Ready to take off!!!
227,the third pic 😍
228,Guy with the tats is sexy😍 Can definitely get it.
229,😍😍😍 teasers now pls?
230,This is an actual toddler😍
231,I'd love to annoy you pretty 😍
232,I hc stellan had a fnaf phase bc his va was in fnaf the musical 😍
233,You should dress up more! 😍
234,😍Deer Life Cycle Facts #youtube #deers #shorts #ytshorts via
235,Actually he looks handsome 😍😍
236,Hot damn! Would love to see more of a casual clown look from you 😍
237,And both would look amazing in my driveway. 😍
238,"Buster 😍 
so many out there.. that’s the sad part."
239,His hair styled like this 😍
240,You’re gorgeous!😍😍😍
241,found a secret area in the open world 😍
242,I love girls with unique features😍😍😍
243,"Wow!! I am not surprised any more. His 3 mini albums contain 18 amazing songs that are uniquely KAI. Many of us NEED our daily dose. He's  just THAT GOOD! Congratulations, Jongin-ah!😍"
244,Yes its adorable 😍
245,Well maybe now you have a chance 😍
246,ME GUSTAS 😍
247,Gorgeous 😍
248,So happy it wasn't one of the money grabbers 😍
249,"Pagi😍

I'm listening to #People_Pt2 by #AgustD ) with #IU ) As My Trending Song Choice!"
250,it’s my sps and I’s one month anniversary tomorrow in the 4D 😍😍😍😍😍😍😍😍😍
251,i rlly love this lol😍😍😍😍😍😍. adding cute messages on my lockscreen randomly&gt;&gt;&gt;
252,im sure a group of grown men havent said anything worse than that in their life! especially given that when they were younger they were joking about brads ex being ran through the group 😍 womp womp bea is queen
253,people who hate the government 😍
254,"guy at the bodega gave me free twix and said he liked my eyebrows

feeling: legendary 😍"
255,I love that Suicune card 😍
256,Shes a beauty😍😍😍
257,anyways my thumbs are tired 😍😍
258,Girls trip to Vegas in a month and a half 😍
259,I should start an only fans but the only fan I want is Lili pay pay 😍😍😍- don’t tell the hubby or the kids.
260,😍Deer Life Cycle Facts #youtube #deers #shorts #ytshorts via
261,hola busco amiguitas jungwon es mio y d jay 😍😍#enyinsbuscanpene
262,Of course your tittie's 😍
263,I’m in love 😍😍😍
264,He gets a pass I guess 😍
265,Love this one!! 😍
266,Gn fam this is beautiful 😍
267,They r gorgeous 😍
268,"😍,Your friend always has to visit the princess"
269,That’s FINE A$$ Wild child at heart 😍.
270,someone who engages in organisations that get their money from the new israel fun n soros fund 😍😍😍
271,This babe 😍
272,"AHHHHH, LOOK AT HER! 😍 Thank you so much for this, I'm so grateful!!!

Art is by !"
273,closing all ur tabs after an assignment😍😍😍😍
274,Terimakasih 😍
275,i love character ai twt cause it’s all just a group of mentally ill people talking to (hopefully) fictional characters😍😍
276,Looking absolutely gorgeous 😍
277,"YES.

Also hair card??? Can we make that a thing😍"
278,I'm so excited for her to come home😍😍
279,"Can't blame you, Kaoru Mitoma is an absolute stunner 😍 #relationshipgoals #blessed Check my bio plz"
280,いてきます〜😍
281,I’m completely covered up in your love😍
282,Your Granny is beautiful 😍
283,😍
284,How gorgeous 😍
285,😍😍😍
286,That is me 😍
287,Beautiful molten sky! And cute chick too😍
288,Omg this ADORABLE 😍 I hope somehow this gets to them because he deserves it
289,Could it be any worse? 😍
290,Those are super nice 😍I need some new ones
291,My baby be having a blast in the country 😍 he love his tree house
292,"No problem Percy, you really do great things with those 2, your arts are super adorable 😍"
293,Cheryl “Coko” Gamble from SWV will be on #WWHL at 9PM ET! 😍 #SWVXscape #TheQueensOfRB
294,😍
295,Struggling with depression 😍 w pursing a career in culinary art LOL
296,可愛い〜😍
297,I wonder if she’s available 😍
298,Wow happy Easter to me 😍
299,The smell of Past papers 😍
300,😍
301,hes so uot 😍😍
302,Norby😍
303,Your so beautiful 😍
304,that’s hard!! probaby UYL because european trophy😍 papa johns would be nice as its against older players and it would be well deserved
305,"Yes, please 😍"
306,I tried the character ai and got rizzed immediately. This man has my whole heart. I can't. 😍
307,😍😍
308,and they BOTH looked so good in that scene 😍
309,😍 I’ve never wanted a new plug more
310,I really can’t think of one rn but maybe to “man up” from my dad because he said that if I want to be a man😍
311,Nice Family 😍
312,😍😍
313,Huarache Full Withe 😍
314,O.M.G You are such a beautiful creature😍😍
315,"Such a precious moment! The eyes were deep, cerulean calm...that's the best way that I can explain the cerulean peepers in that moment in my limited terms. The truth is you just can't fully verbally paint that kinda beauty. 😍"
316,Freen is so beautiful 😍 I still need around 300. Please like and rt. Thank you so much #FREENBECKYinMACAU
317,"my proof for this statement? she literally almost killed our ""cousin"" when we were kids cus she was picking on me and the only reason she didn't literally kill her is bc i pulled my sister off of her 😍"
318,So pretty and relaxing😍
319,😍😍
320,🇺🇸😍😍!!!!MY STATE!!!!😍😍🇺🇸
321,JJK1 IS COMING 😍
322,Beautiful 😍 can wait to see the rest
323,what 😍
324,I heard this kind of new😍s before
325,happy easter you look sexy af😍😍😍
326,Like yeah let’s make her fall for space nazi jr. right after he killed billions of ppl including his father and told her she was nothing 😍😍😍😍 FINN IS RIGHT THERE
327,Osas and Ruth 😍(not on this app)
328,"Not sure whose return I am more excited for today; Sean Russell, Haze Dunster or Shaun Lane. 😍"
329,i fuck with you libras &amp; taurus risings. 😍
330,Yess the good ones 😍
331,I love the beading..😍
332,What's this? Just a coupla rolled gold champs on the couch chatting sport 😍
333,Most fun too 😍
334,the thread i will not fucking make it through the drought😍
335,"I LOVE Tyranny of Heaven! 😍 I have the curated roll with Dragonfly, which only drops from the Vault encounter. The bow used to only drop from Vault, but I think at some point in the last couple years, they changed it so non-curated rolls can drop from secret chests."
336,Love the outfit combos 😍
337,Still can’t get over yesterday’s #Peekskill sunset 😍
338,😍😍
339,Omg more svt members on youngji’s showwww? 😍😍😍😍i wanna see astro there too huhu
340,U DID SNTH RIGHT FOR ONCE 😍 /j
341,what a beautiful dish!! 😍
342,I will push and smash your buttons all night. Stunning 😍
343,😍😍
344,please can we have a  Demi Lovato and Jungkook of BTS collab  their voices would complement each other😍
345,Men who get offended are just scared they may slip in and fall out the closet. I love it!😍 such temptation.....just don't be scared to be Gay.
346,Ate down 😍😍
347,Well I love your dress😍I love that shade of pink
348,"absolutely stunning, you’re glowing 😍"
349,"These are actually so good, anyone agree???😍"
350,Beauty in red😍
351,"Good morning ka😍😍

BAMBAM GM 10April
My choice for Billboard Hot Trending Songs is #SourandSweet by #BamBam  and"
352,DEATH AND NYMPHOLOGY 😍😍
353,"Missing her so much, but fortunately got to FaceTime my Queen. This fkn made my day so much 😍😍😍😍"
354,my cousin’s new puppy 😍 idk what breed she is tho
355,"That car looks so freaking amazing on the dirt track at 😍

#BristolDirtRace"
356,Straight hair is cute on you but I love your curls 😍
357,Another person who is supposed to be levied every month. Because what's all these beauty fgs. 😍
358,i dreamed of this keeho 😍😍😍
359,1 light hair 2 dark hair trio but 1 is dead &amp; another commits genocide &amp; the other is emo trope 😍😍 &gt;&gt;&gt;&gt;
360,So thoughtful 😍
361,Rt if you love it 😍
