ID,Comments
96,"// 2-0 

10-1 for in the map 2 S&amp;D!

He has a 2.33 S&amp;D K/D in stage 4 🔥🔥"
97,Only if lamar is gonna be there then it’s 🔥🔥 if not it’s pointless
98,Check this out. Custom controllers 🔥
99,"Exactly!!!.....
We. Will..(Alwayz)...
Have..Them!!!.....🔥"
100,"Like how this guy say “putting the collection at 1”. Shows the intent 🔥
Congrats on the great acquisition man!"
101,"2AgNO,³  and 2AgCl  🔥🔥"
102,Happy f**king Easter 🔥🔥
103,"My MVP of this 22-23 NBA regular season gotta go the NBA Scriptwriters, them folks cooked up one of the most dramatic and entertaining seasons I've ever watched🔥🔥🔥"
104,Nice! Love the crisp cold air and heated seats! 🔥
105,That’s what I’m talking about! Love this! 🔥🔥🔥
106,"6 point defisit, one game in hand, face off at 27 April. 🔥"
107,"when the barber takes a picture of your chop, that’s how you know it came out 🔥"
108,Fire is the only reasonable and appropriate action 🔥
109,The RT Just KNOWS NO LOW Such Liars &amp; Hypocrites I Hope this All goes Up In 🔥🔥🔥in 2024
110,The Playoffs games are soo 🔥 🔥
111,That team has all the earmarks of a tire fire🔥
112,"Thanks, Nate. Keep up the awesome work on the mound! 🔥"
113,You're so pretty! 🔥
114,Let’s work !!!!! 🔥🔥🔥
115,The offence is 🔥
116,Tyler Huntley to OBJ connection gonna be DEADLY 🔥
117,Yup she’s looking 🔥 today.
118,He's coming to Miami🔥🔥🔥
119,"When this insurrectionist  truly can't see what he did wrong. He has no business in any public office.
🔥#Fact"
120,"And don’t sleep on those Popeye’s pies, 100x better than pies from McDonald’s. And everybody knows the Cajun fries are 🔥"
121,"0245447793 Eric 
Not for the giveaway alone oo honestly this is a banger 🔥"
122,Have you seen she is looking 🔥🔥🔥
123,He went off 🔥
124,Can’t wait to see Huntley and OBJ 🔥🔥🔥
125,Been told y’all 🔥🔥🔥🔥
126,my king on god🔥🔥🔥
127,"0245447793 Eric 
Not for the giveaway alone oo honestly this is a banger 🔥"
128,Makes sense. Love this approach. Strongly considering doing something similar with our co.🔥
129,Ok… I see the embroidered polo “K” and cap!! 🔥🔥
130,🔥 LJ just might stay
131,My vibe go die by fire 🔥
132,Of course I am. 🔥🔥🔥🔥🔥🔥🔥
133,a new weapon for tyler huntley 🔥🔥
134,🇬🇭🇬🇭🇬🇭🔥🔥🔥🔥
135,Definitely the red hot redhead 🔥🔥🔥🔥🔥
136,MY WALLET IS READY🔥🔥🔥🔥🔥
137,Shout out to for coming thru with Gym space🔥
138,Great Idea...Happy To See U And Do Keep The Midnight Lamp 🔥
139,Gon be replying to every circle tweet I see now just to scare people 🔥
140,Mason Rudolph to Odell connection 🔥
141,Anthony Edwards is on fire! 🔥🔥🔥 I can't wait to see what he brings to the court this season! #NBA #AnthonyEdwards Check my pin tweet bro
142,that all black #3 gone be crazy 🔥
143,18 MIL FOR A AGING PLAYER OFF A ACL TEAR 🔥🔥
144,Great news!! 🔥🔥🔥
145,I think I'm still going to call you Jay but W ARC!!! Name so fire and unique 🔥
146,One Piece Aktuell🔥🔥🔥
147,Been here since 2018 and we’ve managed to adapt each time we can do it again 🔥
148,"Onto volume 7
Ishida cooked with this cover🔥"
149,I want Lakers vs Grizzlies in the first round. 🔥
150,Jerry asked me to show his work on twitter “Que Bola” 🔥 Havana Ink..
151,This 🔥🔥🔥
152,"Everyone needs to get on this guy!!! 

Lithe 🔥 

Loving it 🔥🔥 listening from Aus"
153,Love the four of them🔥
154,mf legend in the making!! 🔥🔥
155,They need to get you spinning at some of these clubs out here in CO. Especially Downtown Denver🔥
156,These pants so 🔥🔥..
157,"Thank boss the  Question &amp; Answer session with you is 🔥

You are the best in this Affiliate marketing. Thank for your Mentorship"
158,Him and Cam newton bout to cook this year on the ravens 🔥🔥
159,I kinda want to do this to my hair. It looks so good 🔥
160,One of my new favs 🔥
161,No way he signed without talkin to Lamar first. I’m sure he’s stayin now and if so 🔥🔥
162,Them derrian ford on a horse meme next year finna be 🔥.
163,"#kraken Users:
#NEARUSDT #NRARUSD 
🔥🔥🔥 Buy on $2.02 and sell on $2.4
___
#Marseille #水星の魔女 #amici22 #GTvsKKR #เป็ดพรีเมียม #เป็ดพรีเมียม #BEEFNetflix #cryptonewstoday #cryptotrading #Bitcoin"
164,And we add Wiggins back to the team 🔥
165,🔥THE GIFT IS KILLING ME
166,Twice a year my boys get to lock you up let’s get it 🔥🔥
167,They are hot 🔥🔥
168,4 months ago #Messi dropped this master class in the #WorldCup against Netherlands 🔥
169,"CryptoTraders Founder Kevin with yet another great long alert securing 22.36% profit 🔥  on ETH with 2x $ETH $ALPINE $OG $XRP $DOGE $ERN $BNB $LTC $LUNA
$ERN $XVS  $PROM $RARE $NKN $SLP $CREAM $AMB $UNFI"
170,Ok I see you homie 🔥
171,I want the new red jersey. Those are 🔥🔥🔥
172,is printing coin simple as that 🔥🔥
173,Love it! This one looks dope! 🔥
174,The plot alone that would suffice from these two🔥
175,Fuck yeah🔥🔥 One of my all time favourite bands.
176,Tyler Huntley got a weapon🔥🔥🔥
177,Tell ‘em!! We about to burn everything down! 🔥🔥
178,That is some fervent heat🔥🔥🔥🔥🔥🔥🔥🔥
179,OMG if this is True 🔥🔥🔥🔥🔥🔥🔥🔥
180,We Move🔥
181,This is 🔥🔥🔥🔥
182,AND HOTT! 🔥
183,"I'm really egg-cited about this one
LFG 🔥🔥🔥

Stake: ASalih
Lvl 2 √"
184,I'm eating that ass first 🔥
185,I stand firmly behind it 🔥
186,Don’t play w him 🔥🔥
187,"Rinku Impossible Singh 🔥
What an inspiring"
188,Snoop &amp; OBJ gonna be a connection 🔥
189,This one in particular...I'm ready 🔥
190,"Rest of the Month Special $249

All remaining April picks:🔥 
MLB
NBA
Bomb Plays

7-3 run and April is going to ba a massive month

Message me to join! All picks sent through email"
191,Happy Easter boys! You see what I'm listening to!!!!!!!!!!  GET THE BAND BACK TOGETHER~!      🔥
192,It’s 🔥 brother
193,"You are wrong, the crimes of the American regime have been exhibited on many occasions, not only did Assange do it, but many people show the true face of Uncle Sam 🔥"
194,is popping off rn 🔥
195,We gonna lit up the space 🔥🔥🔥
196,"🔥ROYAL FLUSH🔥

Yesterday won $18K and today he is hitting the Royal Flush deep in the $55 Bounty on Stars!

Join us on stream for all the"
197,Another receiver for Jaire Alexander to own 🔥🔥
198,I’m RESURRECTING🔥 Thank you Lord
199,Spain clearly. The 2 championship contenders crashed and then a 18 year old kid won his 1st race🔥
200,"Odell off injury
Agholor
Bateman
Duvernay
This shit STINKS🔥🔥🔥🔥🔥"
201,have fun spending the rest of your days on party finder alone 🔥🔥🔥 my ass is not helping u no more 🔥🔥
202,🔥
203,This work is 🔥 can’t wait to see other pieces you create!
204,KD vs Westbrook. What. A. Scene. 🔥🔥🔥
205,40 point double double on your debut 🔥
206,"I quit vaping, onto cigarettes only now 🔥"
207,Ooohhh picture 2 🔥🔥
208,This guy ain’t slacking 🔥
209,Good one 🔥
210,"You sir
You deserve a fucking metal
This is the future planning I'm talking about 🔥"
211,"Yessssir, gon' be litty on the CT 🔥"
212,JAMES OUTMAN 2019 Bowman Auto 1st TRUE Rookie Card RC PSA 9 POP 6 Dodgers🔥🔥$$$  #ad #thehobby 
213,Odell tho 🔥🔥
214,BROS ONTO NOTHING 🔥🔥🔥🔥
215,Shoutout and much love to for these bangers 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 #musicNFTs #Crypto
216,Well deserved!!!! 🔥🔥
217,This Lakers Wolves 🔥
218,"🔥🔥🔥 Owleys Suspendable Garbage Bag Dispenser AVAILABLE AGAIN! Are you Excited? $31.99
 #carlifestyle #jdm #caraccessoriesshopn #detailingworld #carpolish"
219,"🔥 video today 1,2,3 i liked that one. Nothing new but a simple explanation. Been studying ITL/ITH but not enough, will put in more hours and level up my game. Thanks"
220,Who’s in charge of the playlist at this Korean bbq spot bc 🔥🔥🔥
221,I don’t know what the fuck you’re looking at. You look sharp!!! 🔥Not like a Shar-Pei.
222,"So I’m kinda guilty, I never stopped listening to #danielcaesar one of the cases where I really felt it was necessary to separate the man from the art. The man artistry is undeniable. This new album as expected 🔥🔥"
223,This is so 🔥
224,I’m ready for the tomorrow. Come on in everyone the coffee is hot 🔥🔥🔥🔥🔥🔥🔥
225,Wtf🔥🔥🔥🔥🔥🔥🔥
226,Westbrook vs Kevin Durant ! 🔥
227,My boy OBJ in bmore with it🔥
228,Podcast gonna be 🔥 just don't compare punches though
229,// THE NEW LAYOUT IS 🔥🔥 AAAHHH
230,This is it🔥
231,OBJ signing with the must mean they bringing back 🔥
232,Coach Becht's fake punt was straight 🔥🔥🔥! That video will be replaying in my mind for months to come. #WinningMindset #FootballSeason Click my profile plz
233,"Oh Allah, please protect our mother's with your shade on the day of judgment and keep them away from hell fire 🔥"
234,knew you was gon be sum one day🔥🔥🔥🔥🔥🔥🔥🔥🔥
235,Tyler Huntley and obj best qb wr duo in the league🔥🔥🔥🔥
236,after that I‘ll have an entire week to do practice exercises 🔥🔥
237,$QUACK is everywhere 🔥
238,"came THROUGH with the bass, man. Holy WHAAAAT. His new album is 🔥🔥🔥🔥"
239,"There's never anybody out there on that stretch of sidewalk, so that alone would have caught my driver's eye even without🔥!
It's illegal to use your phone while driving... but I wonder the same thing.  However, it's the FBI who needs to release EVERYTHING they know about this!"
240,"I even thought of giving my honorable mention to a dubs match (San Luis Potosi Ch SF: B. Lock/R. Statham v. E. King/R. Gonzales) because other than the servefest, the critical pts had it.

I also thought of Alexis-Atmane (SLP) but Rodriguez Taverna-Paire (Barletta) delivered 🔥"
241,It’s a beautiful day today in sac can’t wait for the warriors to smack🔥🔥🔥
242,"Banggg 

And another 🔥🔥"
243,This team is fun #NextLevel 🔥🔥🔥🔥
244,"POLYGON IS NEW HOME TO MEERKATS

FREE MINT IS LIVE! 🔥🔥🔥🔥

#PolygonNFT #Polygon #NFTs #NFTGiveways"
245,Hell yeah🔥🔥🔥
246,Same amount of time it takes to fall in love 🔥
247,Is there anything Erling Haaland can't do? The six-foot-four striker just made the impossible look easy with that epic bicycle kick goal! 🔥🔥 #MCFC #SOUMCI See my bio bro
248,🔥This SATURDAY at 8pm at Cinematique! The 3rd Saturday of the MONTH is here! You're headliner Jimmy Moynihan is gonna tear up the stage along with your host Andrew Ramos!🔥#comedy #florida #standupcomedy #daytona #volusiacounty #beachstreet #LoveBeachStreet
249,"WC 1st Round

1. Nuggets v. 8. LAL, MIN, NOLA, or OKC
2. Grizzlies v. 7. LAL or MIN
3. Kings v. 6. Warriors
4. Suns v. 5. Clippers

EC 1st Round:

1. Bucks v. 8. MIA, ATL, TOR, or CHI
2. Celtics v. 7. MIA or ATL
3. 76ers v. 6. BKN
4. CLE v. 5. NYK

The NBA is fun 🔥 #NBAPlayoffs"
250,Clarifying “white person in NZ” as opposed to white person in UK who like it hot 🔥
251,🔥🔥🔥🔥🔥🔥 We coming
252,send dm for nude🔥
253,Gonna be catching passes from Teddy Bridgewater 🔥🔥🔥
254,it works préfectly 🔥
255,Yellowjacket is such a 🔥🔥🔥 show but I have no idea wtf is going on
256,att: WOMEN: apparently abortion is NOT A REAL ISSUE 🔥🔥🔥🔥🔥
257,"🔥 Join the community and more giveaway campaigns coming soon!
#P2E #GAMEFI #WEB3"
258,"FIGHTING ARMY WE CAN DO THIS WE CAN GIVE YOONGI TOP 10 BILLBOARD HOT 100 AND JIMIN STAY IN TOP 10 TODAY 🔥🔥🔥 

WE DEMAND RADIOPLAY FOR JIMIN RESTOCK LIKE CRAZY CD AND DROP THE FACE VINYLS WHILE WE ARE AT IT"
259,My fav one definitely has to go to lf trunks and ape🔥
260,Great record and Watts Riot is straight 🔥 🔥 🔥
261,Need 🔥
262,Very honest and sincere 🔥
263,"That suns clippers , warriors kings series are gonna be lit 🔥 #nba #NBAPlayoffs"
264,Obj to the raven 🔥🔥
265,Like just for the animorphs reference 🔥
266,Bruh I forgot to take a pic of what I cooked today to send it to you lol. Marinated some chicken as well and threw it on the grill with some steaks. 🔥
267,What the hell!!🔥🔥🔥
268,The club was on fire with 🔥
269,Let’s go 🔥
270,The Rocky Franchise🔥
271,Congratulations project Amazing🔥🔥
272,Odell and lamar 🔥🔥🔥
273,"The Snake with the forward movement combo, that was elite 🔥🔥🔥"
274,Dragon Dia vs Jason Lee at Dead Or Alive for the Brave Gate Championship!! 🔥
275,I hope PG is back for this 🔥
276,Daddy’s setup looking 🔥
